Video-mkv	video/x-matroska	.mkv	acjanc
Chemical Markup Language	chemical/x-cml	.cml	Wikipedia: Chemical Markup Language
CustomMenu	application/vnd.yellowriver-custom-menu	.cmp	IANA: CustomMenu
Corel Metafile Exchange (CMX)	image/x-cmx	.cmx	Wikipedia: CorelDRAW
Blackberry COD File	application/vnd.rim.cod	.cod	
CPIO Archive	application/x-cpio	.cpio	Wikipedia: cpio
Compact Pro	application/mac-compactpro	.cpt	Compact Pro
Microsoft Information Card	application/x-mscardfile	.crd	Wikipedia: Information Card
Internet Public Key Infrastructure - Certificate Revocation Lists	application/pkix-crl	.crl	RFC 2585
CryptoNote	application/vnd.rig.cryptonote	.cryptonote	IANA: CryptoNote
C Shell Script	application/x-csh	.csh	Wikipedia: C Shell
Chemical Style Markup Language	chemical/x-csml	.csml	Wikipedia: Chemical Style Markup Language
Sixth Floor Media - CommonSpace	application/vnd.commonspace	.csp	IANA: CommonSpace
Cascading Style Sheets (CSS)	text/css	.css	Wikipedia: CSS
Comma-Seperated Values	text/csv	.csv	Wikipedia: CSV
CU-SeeMe	application/cu-seeme	.cu	White Pine
Curl - Applet	text/vnd.curl	.curl	Curl Applet
CU-Writer	application/prs.cww	.cww	
COLLADA	model/vnd.collada+xml	.dae	IANA: COLLADA
Mobius Management Systems - UniversalArchive	application/vnd.mobius.daf	.daf	IANA: Mobius Management Systems
Web Distributed Authoring and Versioning	application/davmount+xml	.davmount	RFC 4918
Curl - Detached Applet	text/vnd.curl.dcurl	.dcurl	Curl Detached Applet
OMA Download Agents	application/vnd.oma.dd2+xml	.dd2	IANA: OMA Download Agents
Fujitsu - Xerox 2D CAD Data	application/vnd.fujixerox.ddd	.ddd	IANA: Fujitsu DDD
Debian Package	application/x-debian-package	.deb	Wikipedia: Debian Package
X.509 Certificate	application/x-x509-ca-cert	.der	Wikipedia: X.509
DreamFactory	application/vnd.dreamfactory	.dfac	IANA: DreamFactory
Adobe Shockwave Player	application/x-director	.dir	Wikipedia: Adobe Shockwave Player
Mobius Management Systems - Distribution Database	application/vnd.mobius.dis	.dis	IANA: Mobius Management Systems
DjVu	image/vnd.djvu	.djvu	Wikipedia: DjVu
New Moon Liftoff/DNA	application/vnd.dna	.dna	IANA: New Moon Liftoff/DNA
Microsoft Word	application/msword	.doc	Wikipedia: Microsoft Word
Micosoft Word - Macro-Enabled Document	application/vnd.ms-word.document.macroenabled.12	.docm	IANA: MS Word
Microsoft Office - OOXML - Word Document	application/vnd.openxmlformats-officedocument.wordprocessingml.document	.docx	IANA: OOXML - Word Document
Micosoft Word - Macro-Enabled Template	application/vnd.ms-word.template.macroenabled.12	.dotm	IANA: MS Word
Microsoft Office - OOXML - Word Document Template	application/vnd.openxmlformats-officedocument.wordprocessingml.template	.dotx	IANA: OOXML - Word Document Template
OSGi Deployment Package	application/vnd.osgi.dp	.dp	IANA: OSGi Deployment Package
DPGraph	application/vnd.dpgraph	.dpg	IANA: DPGraph
DRA Audio	audio/vnd.dra	.dra	IANA: DRA
PRS Lines Tag	text/prs.lines.tag	.dsc	IANA: PRS Lines Tag
Data Structure for the Security Suitability of Cryptographic Algorithms	application/dssc+der	.dssc	RFC 5698
Digital Talking Book	application/x-dtbook+xml	.dtb	Wikipedia: EPUB
Document Type Definition	application/xml-dtd	.dtd	W3C DTD
DTS Audio	audio/vnd.dts	.dts	IANA: DTS
DTS High Definition Audio	audio/vnd.dts.hd	.dtshd	IANA: DTS HD
Device Independent File Format (DVI)	application/x-dvi	.dvi	Wikipedia: DVI
Autodesk Design Web Format (DWF)	model/vnd.dwf	.dwf	Wikipedia: Design Web Format
DWG Drawing	image/vnd.dwg	.dwg	Wikipedia: DWG
AutoCAD DXF	image/vnd.dxf	.dxf	Wikipedia: AutoCAD DXF
TIBCO Spotfire	application/vnd.spotfire.dxp	.dxp	IANA: TIBCO Spotfire
Nuera ECELP 4800	audio/vnd.nuera.ecelp4800	.ecelp4800	IANA: ECELP 4800
Nuera ECELP 7470	audio/vnd.nuera.ecelp7470	.ecelp7470	IANA: ECELP 7470
Nuera ECELP 9600	audio/vnd.nuera.ecelp9600	.ecelp9600	IANA: ECELP 9600
Novadigm's RADIA and EDM products	application/vnd.novadigm.edm	.edm	IANA: Novadigm's RADIA and EDM products
Novadigm's RADIA and EDM products	application/vnd.novadigm.edx	.edx	IANA: Novadigm's RADIA and EDM products
Pcsel eFIF File	application/vnd.picsel	.efif	IANA: Picsel eFIF File
Proprietary P&G Standard Reporting System	application/vnd.pg.osasli	.ei6	IANA: Proprietary P&G Standard Reporting System
Email Message	message/rfc822	.eml	RFC 2822
Extensible MultiModal Annotation	application/emma+xml	.emma	EMMA: Extensible MultiModal Annotation markup language
Digital Winds Music	audio/vnd.digital-winds	.eol	IANA: Digital Winds
Microsoft Embedded OpenType	application/vnd.ms-fontobject	.eot	IANA: MS Embedded OpenType
Electronic Publication	application/epub+zip	.epub	Wikipedia: EPUB
ECMAScript	application/ecmascript	.es	ECMA-357
MICROSEC e-Szign¢	application/vnd.eszigno3+xml	.es3	IANA: MICROSEC e-Szign¢
QUASS Stream Player	application/vnd.epson.esf	.esf	IANA: QUASS Stream Player
Setext	text/x-setext	.etx	Wikipedia: Setext
Microsoft Application	application/x-msdownload	.exe	Wikipedia: EXE
Efficient XML Interchange	application/exi	.exi	Efficient XML Interchange (EXI) Best Practices
Novadigm's RADIA and EDM products	application/vnd.novadigm.ext	.ext	IANA: Novadigm's RADIA and EDM products
EZPix Secure Photo Album	application/vnd.ezpix-album	.ez2	IANA: EZPix Secure Photo Album
EZPix Secure Photo Album	application/vnd.ezpix-package	.ez3	IANA: EZPix Secure Photo Album
Fortran Source File	text/x-fortran	.f	Wikipedia: Fortran
Flash Video	video/x-f4v	.f4v	Wikipedia: Flash Video
FastBid Sheet	image/vnd.fastbidsheet	.fbs	IANA: FastBid Sheet
International Society for Advancement of Cytometry	application/vnd.isac.fcs	.fcs	IANA: International Society for Advancement of Cytometry
Forms Data Format	application/vnd.fdf	.fdf	IANA: Forms Data Format
FCS Express Layout Link	application/vnd.denovo.fcselayout-link	.fe_launch	IANA: FCS Express Layout Link
Fujitsu Oasys	application/vnd.fujitsu.oasysgp	.fg5	IANA: Fujitsu Oasys
FreeHand MX	image/x-freehand	.fh	Wikipedia: Macromedia Freehand
Xfig	application/x-xfig	.fig	Wikipedia: Xfig
FLI/FLC Animation Format	video/x-fli	.fli	FLI/FLC Animation Format
Micrografx	application/vnd.micrografx.flo	.flo	IANA: Micrografx
Flash Video	video/x-flv	.flv	Wikipedia: Flash Video
KDE KOffice Office Suite - Kivio	application/vnd.kde.kivio	.flw	IANA: KDE KOffice Office Suite
FLEXSTOR	text/vnd.fmi.flexstor	.flx	IANA: FLEXSTOR
mod_fly / fly.cgi	text/vnd.fly	.fly	IANA: Fly
FrameMaker Normal Format	application/vnd.framemaker	.fm	IANA: FrameMaker
Frogans Player	application/vnd.frogans.fnc	.fnc	IANA: Frogans Player
FlashPix	image/vnd.fpx	.fpx	IANA: FPX
Friendly Software Corporation	application/vnd.fsc.weblaunch	.fsc	IANA: Friendly Software Corporation
FAST Search & Transfer ASA	image/vnd.fst	.fst	IANA: FAST Search & Transfer ASA
FluxTime Clip	application/vnd.fluxtime.clip	.ftc	IANA: FluxTime Clip
ANSER-WEB Terminal Client - Web Funds Transfer	application/vnd.anser-web-funds-transfer-initiation	.fti	IANA: ANSWER-WEB
FAST Search & Transfer ASA	video/vnd.fvt	.fvt	IANA: FVT
Adobe Flex Project	application/vnd.adobe.fxp	.fxp	IANA: Adobe Flex Project
FuzzySheet	application/vnd.fuzzysheet	.fzs	IANA: FuzySheet
GeoplanW	application/vnd.geoplan	.g2w	IANA: GeoplanW
G3 Fax Image	image/g3fax	.g3	Wikipedia: G3 Fax Image
GeospacW	application/vnd.geospace	.g3w	IANA: GeospacW
Groove - Account	application/vnd.groove-account	.gac	IANA: Groove
Geometric Description Language (GDL)	model/vnd.gdl	.gdl	IANA: GDL
DynaGeo	application/vnd.dynageo	.geo	IANA: DynaGeo
GeoMetry Explorer	application/vnd.geometry-explorer	.gex	IANA: GeoMetry Explorer
GeoGebra	application/vnd.geogebra.file	.ggb	IANA: GeoGebra
GeoGebra	application/vnd.geogebra.tool	.ggt	IANA: GeoGebra
Groove - Help	application/vnd.groove-help	.ghf	IANA: Groove
Graphics Interchange Format	image/gif	.gif	Wikipedia: Graphics Interchange Format
Groove - Identity Message	application/vnd.groove-identity-message	.gim	IANA: Groove
GameMaker ActiveX	application/vnd.gmx	.gmx	IANA: GameMaker ActiveX
Gnumeric	application/x-gnumeric	.gnumeric	Wikipedia: Gnumeric
NpGraphIt	application/vnd.flographit	.gph	IANA: FloGraphIt
GrafEq	application/vnd.grafeq	.gqf	IANA: GrafEq
Speech Recognition Grammar Specification	application/srgs	.gram	W3C Speech Grammar
Groove - Injector	application/vnd.groove-injector	.grv	IANA: Groove
Speech Recognition Grammar Specification - XML	application/srgs+xml	.grxml	W3C Speech Grammar
Ghostscript Font	application/x-font-ghostscript	.gsf	Wikipedia: Ghostscript
GNU Tar Files	application/x-gtar	.gtar	GNU Tar
Groove - Tool Message	application/vnd.groove-tool-message	.gtm	IANA: Groove
Gen-Trix Studio	model/vnd.gtw	.gtw	IANA: GTW
Graphviz	text/vnd.graphviz	.gv	IANA: Graphviz
GEONExT and JSXGraph	application/vnd.geonext	.gxt	IANA: GEONExT and JSXGraph
H.261	video/h261	.h261	Wikipedia: H.261
H.263	video/h263	.h263	Wikipedia: H.263
H.264	video/h264	.h264	Wikipedia: H.264
Hypertext Application Language	application/vnd.hal+xml	.hal	IANA: HAL
Homebanking Computer Interface (HBCI)	application/vnd.hbci	.hbci	IANA: HBCI
Hierarchical Data Format	application/x-hdf	.hdf	Wikipedia: Hierarchical Data Format
WinHelp	application/winhlp	.hlp	Wikipedia: WinHelp
HP-GL/2 and HP RTL	application/vnd.hp-hpgl	.hpgl	IANA: HP-GL/2 and HP RTL
Hewlett Packard Instant Delivery	application/vnd.hp-hpid	.hpid	IANA: Hewlett Packard Instant Delivery
Hewlett-Packard's WebPrintSmart	application/vnd.hp-hps	.hps	IANA: Hewlett-Packard's WebPrintSmart
Macintosh BinHex 4.0	application/mac-binhex40	.hqx	MacMIME
Kenamea App	application/vnd.kenameaapp	.htke	IANA: Kenamea App
HyperText Markup Language (HTML)	text/html	.html	Wikipedia: HTML
HV Voice Dictionary	application/vnd.yamaha.hv-dic	.hvd	IANA: HV Voice Dictionary
HV Voice Parameter	application/vnd.yamaha.hv-voice	.hvp	IANA: HV Voice Parameter
HV Script	application/vnd.yamaha.hv-script	.hvs	IANA: HV Script
Interactive Geometry Software	application/vnd.intergeo	.i2g	IANA: Interactive Geometry Software
ICC profile	application/vnd.iccprofile	.icc	IANA: ICC profile
CoolTalk	x-conference/x-cooltalk	.ice	Wikipedia: CoolTalk
Icon Image	image/x-icon	.ico	Wikipedia: ICO File Format
iCalendar	text/calendar	.ics	Wikipedia: iCalendar
Image Exchange Format	image/ief	.ief	RFC 1314
Shana Informed Filler	application/vnd.shana.informed.formdata	.ifm	IANA: Shana Informed Filler
igLoader	application/vnd.igloader	.igl	IANA: igLoader
IOCOM Visimeet	application/vnd.insors.igm	.igm	IANA: IOCOM Visimeet
Initial Graphics Exchange Specification (IGES)	model/iges	.igs	Wikipedia: IGES
Micrografx iGrafx Professional	application/vnd.micrografx.igx	.igx	IANA: Micrografx
Shana Informed Filler	application/vnd.shana.informed.interchange	.iif	IANA: Shana Informed Filler
Simply Accounting - Data Import	application/vnd.accpac.simply.imp	.imp	IANA: Simply Accounting
Microsoft Class Server	application/vnd.ms-ims	.ims	IANA: MS Class Server
Internet Protocol Flow Information Export	application/ipfix	.ipfix	RFC 3917
Shana Informed Filler	application/vnd.shana.informed.package	.ipk	IANA: Shana Informed Filler
IBM DB2 Rights Manager	application/vnd.ibm.rights-management	.irm	IANA: IBM DB2 Rights Manager
iRepository / Lucidoc Editor	application/vnd.irepository.package+xml	.irp	IANA: iRepository / Lucidoc Editor
Shana Informed Filler	application/vnd.shana.informed.formtemplate	.itp	IANA: Shana Informed Filler
ImmerVision PURE Players	application/vnd.immervision-ivp	.ivp	IANA: ImmerVision PURE Players
ImmerVision PURE Players	application/vnd.immervision-ivu	.ivu	IANA: ImmerVision PURE Players
J2ME App Descriptor	text/vnd.sun.j2me.app-descriptor	.jad	IANA: J2ME App Descriptor
Lightspeed Audio Lab	application/vnd.jam	.jam	IANA: Lightspeed Audio Lab
Java Archive	application/java-archive	.jar	Wikipedia: JAR file format
Java Source File	text/x-java-source,java	.java	Wikipedia: Java
RhymBox	application/vnd.jisp	.jisp	IANA: RhymBox
HP Indigo Digital Press - Job Layout Languate	application/vnd.hp-jlyt	.jlt	IANA: HP Job Layout Language
Java Network Launching Protocol	application/x-java-jnlp-file	.jnlp	Wikipedia: Java Web Start
Joda Archive	application/vnd.joost.joda-archive	.joda	IANA: Joda Archive
JPEG Image	image/jpeg	.jpeg, .jpg	RFC 1314
JPGVideo	video/jpeg	.jpgv	RFC 3555
JPEG 2000 Compound Image File Format	video/jpm	.jpm	IANA: JPM
JavaScript	application/javascript	.js	JavaScript
JavaScript Object Notation (JSON)	application/json	.json	Wikipedia: JSON
KDE KOffice Office Suite - Karbon	application/vnd.kde.karbon	.karbon	IANA: KDE KOffice Office Suite
KDE KOffice Office Suite - Kformula	application/vnd.kde.kformula	.kfo	IANA: KDE KOffice Office Suite
Kidspiration	application/vnd.kidspiration	.kia	IANA: Kidspiration
Google Earth - KML	application/vnd.google-earth.kml+xml	.kml	IANA: Google Earth
Google Earth - Zipped KML	application/vnd.google-earth.kmz	.kmz	IANA: Google Earth
Kinar Applications	application/vnd.kinar	.kne	IANA: Kina Applications
KDE KOffice Office Suite - Kontour	application/vnd.kde.kontour	.kon	IANA: KDE KOffice Office Suite
KDE KOffice Office Suite - Kpresenter	application/vnd.kde.kpresenter	.kpr	IANA: KDE KOffice Office Suite
KDE KOffice Office Suite - Kspread	application/vnd.kde.kspread	.ksp	IANA: KDE KOffice Office Suite
OpenGL Textures (KTX)	image/ktx	.ktx	KTX File Format
Kahootz	application/vnd.kahootz	.ktz	IANA: Kahootz
KDE KOffice Office Suite - Kword	application/vnd.kde.kword	.kwd	IANA: KDE KOffice Office Suite
Laser App Enterprise	application/vnd.las.las+xml	.lasxml	IANA: Laser App Enterprise
LaTeX	application/x-latex	.latex	Wikipedia: LaTeX
Life Balance - Desktop Edition	application/vnd.llamagraphics.life-balance.desktop	.lbd	IANA: Life Balance
Life Balance - Exchange Format	application/vnd.llamagraphics.life-balance.exchange+xml	.lbe	IANA: Life Balance
Archipelago Lesson Player	application/vnd.hhe.lesson-player	.les	IANA: Archipelago Lesson Player
ROUTE 66 Location Based Services	application/vnd.route66.link66+xml	.link66	IANA: ROUTE 66
Microsoft Learning Resource Module	application/vnd.ms-lrm	.lrm	IANA: MS Learning Resource Module
Frogans Player	application/vnd.frogans.ltf	.ltf	IANA: Frogans Player
Lucent Voice	audio/vnd.lucent.voice	.lvp	IANA: Lucent Voice
Lotus Wordpro	application/vnd.lotus-wordpro	.lwp	IANA: Lotus Wordpro
MPEG-21	application/mp21	.m21	Wikipedia: MPEG-21
M3U (Multimedia Playlist)	audio/x-mpegurl	.m3u	Wikipedia: M3U
Multimedia Playlist Unicode	application/vnd.apple.mpegurl	.m3u8	Wikipedia: M3U
M4v	video/x-m4v	.m4v	Wikipedia: M4v
Mathematica Notebooks	application/mathematica	.ma	IANA - Mathematica
Metadata Authority Description Schema	application/mads+xml	.mads	RFC 6207
EcoWin Chart	application/vnd.ecowin.chart	.mag	IANA: EcoWin Chart
Mathematical Markup Language	application/mathml+xml	.mathml	W3C Math Home
Mobius Management Systems - Basket file	application/vnd.mobius.mbk	.mbk	IANA: Mobius Management Systems
Mbox database files	application/mbox	.mbox	RFC 4155
MedCalc	application/vnd.medcalcdata	.mc1	IANA: MedCalc
Micro CADAM Helix D&D	application/vnd.mcd	.mcd	IANA: Micro CADAM Helix D&D
Curl - Manifest File	text/vnd.curl.mcurl	.mcurl	Curl Manifest File
Microsoft Access	application/x-msaccess	.mdb	Wikipedia: Microsoft Access
Microsoft Document Imaging Format	image/vnd.ms-modi	.mdi	Wikipedia: Microsoft Document Image Format
Metalink	application/metalink4+xml	.meta4	Wikipedia: Metalink
Metadata Encoding and Transmission Standard	application/mets+xml	.mets	RFC 6207
Melody Format for Mobile Platform	application/vnd.mfmp	.mfm	IANA: Melody Format for Mobile Platform
MapGuide DBXML	application/vnd.osgeo.mapguide.package	.mgp	IANA: MapGuide DBXML
EFI Proteus	application/vnd.proteus.magazine	.mgz	IANA: EFI Proteus
MIDI - Musical Instrument Digital Interface	audio/midi	.mid	Wikipedia: MIDI
FrameMaker Interchange Format	application/vnd.mif	.mif	IANA: FrameMaker Interchange Format
Motion JPEG 2000	video/mj2	.mj2	IANA: MJ2
Dolby Meridian Lossless Packing	application/vnd.dolby.mlp	.mlp	IANA: Dolby Meridian Lossless Packing
Karaoke on Chipnuts Chipsets	application/vnd.chipnuts.karaoke-mmd	.mmd	IANA: Chipnuts Karaoke
SMAF File	application/vnd.smaf	.mmf	IANA: SMAF File
EDMICS 2000	image/vnd.fujixerox.edmics-mmr	.mmr	IANA: EDMICS 2000
Microsoft Money	application/x-msmoney	.mny	Wikipedia: Microsoft Money
Metadata Object Description Schema	application/mods+xml	.mods	RFC 6207
SGI Movie	video/x-sgi-movie	.movie	SGI Facts
MPEG4	application/mp4	.mp4	RFC 4337
MPEG-4 Video	video/mp4	.mp4	Wikipedia: MP4
MPEG-4 Audio	audio/mp4	.mp4a	Wikipedia: MP4A
Mophun Certificate	application/vnd.mophun.certificate	.mpc	IANA: Mophun Certificate
MPEG Video	video/mpeg	.mpeg	Wikipedia: MPEG
MPEG Audio	audio/mpeg	.mpga	Wikipedia: MPGA
Apple Installer Package	application/vnd.apple.installer+xml	.mpkg	IANA: Apple Installer
Blueice Research Multipass	application/vnd.blueice.multipass	.mpm	IANA: Multipass
Mophun VM	application/vnd.mophun.application	.mpn	IANA: Mophun VM
Microsoft Project	application/vnd.ms-project	.mpp	IANA: MS PowerPoint
MiniPay	application/vnd.ibm.minipay	.mpy	IANA: MiniPay
Mobius Management Systems - Query File	application/vnd.mobius.mqy	.mqy	IANA: Mobius Management Systems
MARC Formats	application/marc	.mrc	RFC 2220
MARC21 XML Schema	application/marcxml+xml	.mrcx	RFC 6207
Media Server Control Markup Language	application/mediaservercontrol+xml	.mscml	RFC 5022
3GPP MSEQ File	application/vnd.mseq	.mseq	IANA: 3GPP MSEQ File
QUASS Stream Player	application/vnd.epson.msf	.msf	IANA: QUASS Stream Player
Mesh Data Type	model/mesh	.msh	RFC 2077
Mobius Management Systems - Script Language	application/vnd.mobius.msl	.msl	IANA: Mobius Management Systems
Muvee Automatic Video Editing	application/vnd.muvee.style	.msty	IANA: Muvee
Virtue MTS	model/vnd.mts	.mts	IANA: MTS
MUsical Score Interpreted Code Invented for the ASCII designation of Notation	application/vnd.musician	.mus	IANA: MUSICIAN
Recordare Applications	application/vnd.recordare.musicxml+xml	.musicxml	IANA: Recordare Apps
Microsoft MediaView	application/x-msmediaview	.mvb	Windows Help
Medical Waveform Encoding Format	application/vnd.mfer	.mwf	IANA: Medical Waveform Encoding Format
Material Exchange Format	application/mxf	.mxf	RFC 4539
Recordare Applications	application/vnd.recordare.musicxml	.mxl	IANA: Recordare Apps
MXML	application/xv+xml	.mxml	Wikipedia: MXML
Triscape Map Explorer	application/vnd.triscape.mxs	.mxs	IANA: Triscape Map Explorer
MPEG Url	video/vnd.mpegurl	.mxu	IANA: MPEG Url
N-Gage Game Installer	application/vnd.nokia.n-gage.symbian.install	.n-gage	IANA: N-Gage Game Installer
Notation3	text/n3	.n3	Wikipedia: Notation3
Mathematica Notebook Player	application/vnd.wolfram.player	.nbp	IANA: Mathematica Notebook Player
Network Common Data Form (NetCDF)	application/x-netcdf	.nc	Wikipedia: NetCDF
Navigation Control file for XML (for ePub)	application/x-dtbncx+xml	.ncx	Wikipedia: EPUB
N-Gage Game Data	application/vnd.nokia.n-gage.data	.ngdat	IANA: N-Gage Game Data
neuroLanguage	application/vnd.neurolanguage.nlu	.nlu	IANA: neuroLanguage
Enliven Viewer	application/vnd.enliven	.nml	IANA: Enliven Viewer
NobleNet Directory	application/vnd.noblenet-directory	.nnd	IANA: NobleNet Directory
NobleNet Sealer	application/vnd.noblenet-sealer	.nns	IANA: NobleNet Sealer
NobleNet Web	application/vnd.noblenet-web	.nnw	IANA: NobleNet Web
FlashPix	image/vnd.net-fpx	.npx	IANA: FPX
Lotus Notes	application/vnd.lotus-notes	.nsf	IANA: Lotus Notes
